CLIENT,ALIGNMENT,TERRITORY,Old Territory,OUTLET,,,,,,,,,,,,,
299,M,00000000,00000000,G3B 000,,,,,,,,,,,,,
299,M,00000000,00000000,G3C 000,,,,,,,,,,,,,
299,M,00000000,00000000,G3E 000,,,,,,,,,,,,,
299,M,00000000,00000000,G3G 000,,,,,,,,,,,,,
299,M,00000000,00000000,G3H 000,,,,,,,,,,,,,
299,M,00000000,00000000,G3J 000,,,,,,,,,,,,,
299,M,00000000,00000000,G3K 000,,,,,,,,,,,,,
299,M,00000000,00000000,G3L 000,,,,,,,,,,,,,
299,M,00000000,00000000,G3M 000,,,,,,,,,,,,,
299,M,00000000,00000000,G3N 000,,,,,,,,,,,,,
299,M,00000000,00000000,G3R 000,,,,,,,,,,,,,
299,M,00000000,00000000,G3S 000,,,,,,,,,,,,,
299,M,00000000,00000000,G3Z 000,,,,,,,,,,,,,
299,M,00000000,00000000,G4A 000,,,,,,,,,,,,,
299,M,00000000,00000000,G4R 000,,,,,,,,,,,,,
299,M,00000000,00000000,G4S 000,,,,,,,,,,,,,
299,M,00000000,00000000,G4T 000,,,,,,,,,,,,,
299,M,00000000,00000000,G4V 000,,,,,,,,,,,,,
299,M,00000000,00000000,G4W 000,,,,,,,,,,,,,
299,M,00000000,00000000,G4X 000,,,,,,,,,,,,,
299,M,00000000,00000000,G4Z 000,,,,,,,,,,,,,
299,M,00000000,00000000,G5A 000,,,,,,,,,,,,,
299,M,00000000,00000000,G5B 000,,,,,,,,,,,,,
299,M,00000000,00000000,G5C 000,,,,,,,,,,,,,
299,M,00000000,00000000,G5H 000,,,,,,,,,,,,,
299,M,00000000,00000000,G5J 000,,,,,,,,,,,,,
299,M,00000000,00000000,G5L 000,,,,,,,,,,,,,
299,M,00000000,00000000,G5M 000,,,,,,,,,,,,,
299,M,00000000,00000000,G5N 000,,,,,,,,,,,,,
299,M,00000000,00000000,G5R 000,,,,,,,,,,,,,
299,M,00000000,00000000,G5T 000,,,,,,,,,,,,,
299,M,00000000,00000000,G5V 000,,,,,,,,,,,,,
299,M,00000000,00000000,G5X 000,,,,,,,,,,,,,
299,M,00000000,00000000,G5Y 000,,,,,,,,,,,,,
299,M,00000000,00000000,G5Z 000,,,,,,,,,,,,,
299,M,00000000,00000000,G6A 000,,,,,,,,,,,,,
299,M,00000000,00000000,G6B 000,,,,,,,,,,,,,
299,M,00000000,00000000,G6C 000,,,,,,,,,,,,,
299,M,00000000,00000000,G6E 000,,,,,,,,,,,,,
299,M,00000000,00000000,G6G 000,,,,,,,,,,,,,
299,M,00000000,00000000,G6H 000,,,,,,,,,,,,,
299,M,00000000,00000000,G6J 000,,,,,,,,,,,,,
299,M,00000000,00000000,G6K 000,,,,,,,,,,,,,
299,M,00000000,00000000,G6L 000,,,,,,,,,,,,,
299,M,00000000,00000000,G6P 000,,,,,,,,,,,,,
299,M,00000000,00000000,G6R 000,,,,,,,,,,,,,
299,M,00000000,00000000,G6S 000,,,,,,,,,,,,,
299,M,00000000,00000000,G6T 000,,,,,,,,,,,,,
299,M,00000000,00000000,G6V 000,,,,,,,,,,,,,
299,M,00000000,00000000,G6W 000,,,,,,,,,,,,,
299,M,00000000,00000000,G6X 000,,,,,,,,,,,,,
299,M,00000000,00000000,G6Z 000,,,,,,,,,,,,,
299,M,00000000,00000000,G7A 000,,,,,,,,,,,,,
299,M,00000000,00000000,G7B 000,,,,,,,,,,,,,
299,M,00000000,00000000,G7E 000,,,,,,,,,,,,,
299,M,00000000,00000000,G7G 000,,,,,,,,,,,,,
299,M,00000000,00000000,G7H 000,,,,,,,,,,,,,
299,M,00000000,00000000,G7J 000,,,,,,,,,,,,,
299,M,00000000,00000000,G7K 000,,,,,,,,,,,,,
299,M,00000000,00000000,G7N 000,,,,,,,,,,,,,
299,M,00000000,00000000,G7P 000,,,,,,,,,,,,,
299,M,00000000,00000000,G7S 000,,,,,,,,,,,,,
299,M,00000000,00000000,G7T 000,,,,,,,,,,,,,
299,M,00000000,00000000,G7X 000,,,,,,,,,,,,,
299,M,00000000,00000000,G7Y 000,,,,,,,,,,,,,
299,M,00000000,00000000,G7Z 000,,,,,,,,,,,,,
299,M,00000000,00000000,G8A 000,,,,,,,,,,,,,
299,M,00000000,00000000,G8B 000,,,,,,,,,,,,,
299,M,00000000,00000000,G8C 000,,,,,,,,,,,,,
299,M,00000000,00000000,G8E 000,,,,,,,,,,,,,
299,M,00000000,00000000,G8G 000,,,,,,,,,,,,,
299,M,00000000,00000000,G8H 000,,,,,,,,,,,,,
299,M,00000000,00000000,G8J 000,,,,,,,,,,,,,
299,M,00000000,00000000,G8K 000,,,,,,,,,,,,,
299,M,00000000,00000000,G8L 000,,,,,,,,,,,,,
299,M,00000000,00000000,G8M 000,,,,,,,,,,,,,
299,M,00000000,00000000,G8N 000,,,,,,,,,,,,,
299,M,00000000,00000000,G8P 000,,,,,,,,,,,,,
299,M,00000000,00000000,G8T 000,,,,,,,,,,,,,
299,M,00000000,00000000,G8V 000,,,,,,,,,,,,,
299,M,00000000,00000000,G8W 000,,,,,,,,,,,,,
299,M,00000000,00000000,G8X 000,,,,,,,,,,,,,
299,M,00000000,00000000,G8Y 000,,,,,,,,,,,,,
299,M,00000000,00000000,G8Z 000,,,,,,,,,,,,,
299,M,00000000,00000000,G9A 000,,,,,,,,,,,,,
299,M,00000000,00000000,G9B 000,,,,,,,,,,,,,
299,M,00000000,00000000,G9C 000,,,,,,,,,,,,,
299,M,00000000,00000000,G9H 000,,,,,,,,,,,,,
299,M,00000000,00000000,G9N 000,,,,,,,,,,,,,
299,M,00000000,00000000,G9P 000,,,,,,,,,,,,,
299,M,00000000,00000000,G9R 000,,,,,,,,,,,,,
299,M,00000000,00000000,G9T 000,,,,,,,,,,,,,
299,M,00000000,00000000,G9W 000,,,,,,,,,,,,,
299,M,00000000,00000000,G9X 000,,,,,,,,,,,,,
299,M,00000000,00000000,G9Y 000,,,,,,,,,,,,,
299,M,00000000,00000000,H0A 000,,,,,,,,,,,,,
299,M,00000000,00000000,H0M 000,,,,,,,,,,,,,
299,M,00000000,00000000,H1A 000,,,,,,,,,,,,,
299,M,00000000,00000000,H1B 000,,,,,,,,,,,,,
299,M,00000000,00000000,H1C 000,,,,,,,,,,,,,
299,M,00000000,00000000,H1E 000,,,,,,,,,,,,,
299,M,00000000,00000000,H1G 000,,,,,,,,,,,,,
299,M,00000000,00000000,H1H 000,,,,,,,,,,,,,
299,M,00000000,00000000,H1J 000,,,,,,,,,,,,,
299,M,00000000,00000000,H1K 000,,,,,,,,,,,,,
299,M,00000000,00000000,H1L 000,,,,,,,,,,,,,
299,M,00000000,00000000,H1M 000,,,,,,,,,,,,,
